"","state","mean","lower","upper"
"1","AK",0.452605803749501,0.262450139609095,0.618473274830475
"2","AL",0.495302289491455,0.338859669627552,0.658932003532284
"3","AR",0.387458996982144,0.227543172101601,0.568381674909884
"4","AZ",0.460437430951734,0.285972109028344,0.641641764013402
"5","CA",0.587863535581519,0.449640616702071,0.721884210701009
"6","CO",0.461058787282636,0.242225764873482,0.682519842615834
"7","CT",0.583646612688326,0.354644528714427,0.79215008028424
"8","DC",0.702191168599465,0.508113291703836,0.896547725245316
"9","DE",0.606583278101803,0.381757025450689,0.814296129374337
"10","FL",0.492730406494359,0.322181101892198,0.668109144630813
"11","GA",0.507996298716805,0.370866690964847,0.646251900913696
"12","HI",0.578119628990509,0.441660914581536,0.736089301121657
"13","IA",0.499474236678525,0.298283748387349,0.693782986043239
"14","ID",0.365940251572327,0.175542452830189,0.578626179245283
"15","IL",0.550258177139843,0.37315155828514,0.720645909439296
"16","IN",0.477081487163078,0.297412851980124,0.663289131907845
"17","KS",0.429501791530944,0.245774158523344,0.629881650380022
"18","KY",0.467243310758299,0.259739646941268,0.668203203064283
"19","LA",0.52868912799724,0.386151601403025,0.6760422057386
"20","MA",0.64221557734773,0.455648722897432,0.811758645871368
"21","MD",0.585400666345368,0.435910881545586,0.741866605200846
"22","ME",0.48716467174465,0.272467809212913,0.697229778745012
"23","MI",0.555998957185089,0.37853742860006,0.740515394829141
"24","MN",0.518428058822191,0.308256943338717,0.72469519823488
"25","MO",0.478766515850783,0.292870674539995,0.661653298131764
"26","MS",0.544629545061034,0.385024023894035,0.70008440827634
"27","MT",0.42974592655642,0.223601653696498,0.651516901750973
"28","NC",0.536799841983712,0.37591831773429,0.69211286009481
"29","ND",0.504054525758305,0.296890547263682,0.727836623334938
"30","NE",0.491301843623583,0.272561177796936,0.703299290403873
"31","NH",0.510176088098783,0.242821175234259,0.778883877747613
"32","NJ",0.551269165169296,0.380538983098433,0.720683362344882
"33","NM",0.5173100805404,0.340669654455703,0.689153026760198
"34","NV",0.486091547608677,0.343972689258646,0.637392194442025
"35","NY",0.549959844380693,0.386880175016792,0.704161670820281
"36","OH",0.474764051633298,0.306679399367756,0.6471822971549
"37","OK",0.450666491324894,0.299263564554517,0.606548584043324
"38","OR",0.518585797207935,0.325639235855988,0.715800146950772
"39","PA",0.408251489780959,0.233258288988948,0.595920951175166
"40","RI",0.529654633807706,0.316091056346176,0.739225384704385
"41","SC",0.440891248359377,0.278323345137565,0.606550110200342
"42","SD",0.416076368452031,0.213198940553267,0.635671718658034
"43","TN",0.423111558643116,0.24989145295987,0.59708031557165
"44","TX",0.419711827816619,0.274649463800489,0.57667314554263
"45","UT",0.438210094209661,0.24955783673288,0.626944185219748
"46","VA",0.559149891334881,0.394206005411079,0.726449977084227
"47","VT",0.526734058375163,0.294283324037925,0.742916899051868
"48","WA",0.543484859370097,0.366855769707179,0.721731985664503
"49","WI",0.494926496506578,0.301996915717253,0.696577914857011
"50","WV",0.449068347755544,0.244588290968091,0.659748512709573
"51","WY",0.47159868275404,0.268745849014833,0.709547265884437
